id,product,amount,credit rating,cancellation,age
66195795,K1,96900,4,정상,29
66758960,K1,96900,4,정상,54
66759474,K1,96900,1,정상,48
66757095,K1,105900,2,정상,21
66759449,K1,81900,1,정상,37
66759449,K2,81900,1,정상,48
66145244,K1,96900,,정상,
66193790,K1,96900,5,정상,64
66643291,K3,90900,4,정상,
25742635,K1,96900,,정상,
66759170,K1,105900,6,정상,49
66759197,K1,81900,,정상,
66759197,K2,81900,,정상,
66759252,K1,96900,,정상,
66758187,K1,105900,1,정상,57
25742746,K1,124200,,정상,
66758417,K1,105900,1,정상,43
66166944,K1,102900,3,정상,62
66254485,K1,102900,9,정상,47
66759351,K1,111900,8,정상,60
25742714,K1,124200,,정상,
66287294,K1,96900,6,정상,45
66758159,K1,96900,4,정상,53
66758860,K2,87900,1,정상,38
66584777,K3,90900,1,정상,43
66758492,K1,111900,3,정상,49
66758942,K1,96900,1,정상,36
66759136,K1,96900,4,정상,
66423937,K1,81900,6,정상,45
66758522,K1,81900,6,정상,41
66758522,K2,81900,6,정상,65
66759407,K1,96900,9,정상,65
66423593,K1,66900,4,해약,25
66758585,K1,105900,5,정상,54
66527903,K3,90900,3,정상,36
66759093,K1,105900,4,정상,46
66874408,K1,96900,,해약,
66755682,K1,96900,1,정상,45
66423977,K1,66900,3,해약,47
66748351,K1,98400,5,정상,
66748351,K2,80400,5,정상,46
66759265,K1,96900,1,정상,71
66712002,K2,90900,3,정상,71
66758760,K4,125700,1,정상,79
66758998,K1,96900,8,정상,50
66748269,K1,81900,,정상,
66748269,K2,81900,,정상,
66759185,K1,96900,7,정상,72
66757654,K1,96900,2,정상,57
66747781,K1,105900,3,정상,51
66759580,K1,81900,2,정상,56
66759580,K2,81900,2,정상,49
66759531,K1,105900,4,정상,33
66759556,K1,105900,2,정상,46
66423383,K1,105900,4,정상,47
66758956,K1,105900,4,정상,62
66757790,K1,105900,1,정상,55
66758648,K2,81900,1,정상,44
66759190,K1,96900,3,정상,53
66758330,K1,111900,2,정상,42
66169116,K1,96900,3,정상,33
66423908,K1,66900,4,정상,63
66758750,K1,105900,4,정상,41
66759041,K1,142200,5,정상,26
66757551,K3,90900,6,정상,21
66759544,K3,90900,1,정상,42
66757938,K1,96900,2,정상,74
66669565,K1,81900,6,정상,52
66669565,K2,81900,6,정상,64
66759107,K1,96900,9,정상,33
66758924,K1,81900,1,정상,60
66758924,K2,81900,1,정상,41
66759588,K1,96900,4,정상,47
25733976,K1,96900,,정상,
66211399,K1,102900,1,정상,34
66759471,K2,96900,4,정상,62
66187675,K1,102900,3,정상,26
66759466,K1,96900,4,정상,68
66759066,K1,81900,7,정상,55
66759066,K2,81900,7,정상,45
66757826,K1,111900,10,정상,42
66423691,K1,66900,3,정상,57
66759513,K1,81900,7,정상,36
66759513,K2,81900,7,정상,38
66423817,K1,96900,7,정상,60
66759452,K1,96900,3,정상,47
66759169,K1,81900,6,정상,56
66759169,K2,81900,6,정상,64
66759493,K1,81900,1,정상,38
66759493,K2,81900,1,정상,45
66759432,K1,105900,7,정상,38
66757347,K1,96900,4,정상,62
66759500,K2,87900,1,정상,38
66583264,K3,90900,1,정상,61
66545852,K2,90900,4,정상,53
